Event	ID	Name			Wwise Object Path	Notes
	99515266	Launcher_Loop			\Default Work Unit\Weapons\Launcher\Launcher_Loop	
	124877840	Turret_Death			\Default Work Unit\Enemies\Turret\Turret_Death	
	848010948	Hoover_Shoot			\Default Work Unit\Enemies\Hoverbot\Hoover_Shoot	
	851704759	Launcher_BuildUp			\Default Work Unit\Weapons\Launcher\Launcher_BuildUp	
	1065059636	Hoover_Damage			\Default Work Unit\Enemies\Hoverbot\Hoover_Damage	
	1786804762	Damage			\Default Work Unit\Player\Damage	
	2040071657	Shotgun_Shoot			\Default Work Unit\Weapons\Shotgun_Shoot	
	2356394572	Blaster_Shoot			\Default Work Unit\Weapons\Blaster_Shoot	
	2385628198	Footsteps			\Default Work Unit\Player\Footsteps	
	2530127952	Turret_Alert			\Default Work Unit\Enemies\Turret\Turret_Alert	
	2638846805	Turret_Damage			\Default Work Unit\Enemies\Turret\Turret_Damage	
	2888394459	Turret_Shoot			\Default Work Unit\Enemies\Turret\Turret_Shoot	
	2899905971	Hoover_Death			\Default Work Unit\Enemies\Hoverbot\Hoover_Death	
	3483890130	Land_Damage			\Default Work Unit\Player\Land_Damage	
	3554861522	Pickup_Health			\Default Work Unit\Pickups\Pickup_Health	
	3725660253	Launcher_Shoot			\Default Work Unit\Weapons\Launcher\Launcher_Shoot	
	3876585337	Jetpack_Use			\Default Work Unit\Player\Jetpack\Jetpack_Use	
	3975751376	Hoover_Move			\Default Work Unit\Enemies\Hoverbot\Hoover_Move	
	4006394725	Weapon_Cooling			\Default Work Unit\Weapons\Weapon_Cooling	
	4187423031	Hoover_Alert			\Default Work Unit\Enemies\Hoverbot\Hoover_Alert	

Effect plug-ins	ID	Name	Type				Notes
	819943492	Fear_no_Evil	Wwise Harmonizer			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	31564101	Jetpack_Use	C:\Users\BigMonster\Desktop\JAM\JAM_Internacional\Unity\FPS_JAM\FPS_JAM_WwiseProject\.cache\Mac\SFX\JetPackUseTriggerA_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Jetpack\Jetpack\Jetpack_Use		152064
	100764059	Movement	C:\Users\BigMonster\Desktop\JAM\JAM_Internacional\Unity\FPS_JAM\FPS_JAM_WwiseProject\.cache\Mac\SFX\HooverMovementLoop_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Hoverbot\Movement		980064
	143808469	Blaster_Cooling	C:\Users\BigMonster\Desktop\JAM\JAM_Internacional\Unity\FPS_JAM\FPS_JAM_WwiseProject\.cache\Mac\SFX\Cooling PistonA_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapons\Blaster\Blaster_Cooling		256064
	144451089	BG LOOP	C:\Users\BigMonster\Desktop\JAM\JAM_Internacional\Unity\FPS_JAM\FPS_JAM_WwiseProject\.cache\Mac\SFX\BG LOOP_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\BG LOOP		4016064
	185192701	EnemyShotA	C:\Users\BigMonster\Desktop\JAM\JAM_Internacional\Unity\FPS_JAM\FPS_JAM_WwiseProject\.cache\Mac\SFX\Hoover Shoot\EnemyShotA_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Hoverbot\Shoot_Hooverbot\EnemyShotA		116064
	217380904	Jetpack_Loop	C:\Users\BigMonster\Desktop\JAM\JAM_Internacional\Unity\FPS_JAM\FPS_JAM_WwiseProject\.cache\Mac\SFX\JetPackUseLoop_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Jetpack\Jetpack\Jetpack_Loop		600064
	219180270	EnemyShotD	C:\Users\BigMonster\Desktop\JAM\JAM_Internacional\Unity\FPS_JAM\FPS_JAM_WwiseProject\.cache\Mac\SFX\Turret Shoot\EnemyShotD_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Turret\Turret Shoot\EnemyShotD		116064
